,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
356,0,3,0,30.5,0,0,7.75,0,1,0
357,0,2,1,32.0,0,0,10.5,0,0,1
358,0,3,1,7.0,4,1,39.6875,0,0,1
359,1,2,1,2.0,1,1,26.0,0,0,1
360,0,3,0,25.0,0,0,7.775,0,0,1
361,0,3,0,45.0,1,4,27.9,0,0,1
362,0,3,1,25.0,0,0,7.8958,0,0,1
363,0,3,1,20.0,0,0,8.05,0,0,1
364,0,3,1,35.0,0,0,8.05,0,0,1
365,1,3,1,26.0,0,0,18.7875,1,0,0
366,1,1,1,0.92,1,2,151.55,0,0,1
367,0,2,1,24.0,0,0,10.5,0,0,1
368,1,2,0,14.0,1,0,30.0708,1,0,0
369,1,1,1,34.0,0,0,26.55,0,0,1
370,0,3,1,21.0,0,0,7.25,0,0,1
371,1,1,0,33.0,0,0,86.5,0,0,1
372,0,3,0,2.0,4,2,31.275,0,0,1
373,0,3,1,29.0,0,0,7.775,0,0,1
374,1,2,0,24.0,1,2,65.0,0,0,1
375,1,2,0,24.0,0,0,13.0,0,0,1
376,0,3,0,21.0,0,0,7.75,0,1,0
377,0,3,1,34.0,1,1,14.4,0,0,1
378,1,2,0,7.0,0,2,26.25,0,0,1
379,1,3,1,25.0,0,0,0.0,0,0,1
380,0,3,1,34.0,0,0,8.05,0,0,1
381,1,1,1,60.0,1,1,79.2,1,0,0
382,1,2,0,33.0,1,2,27.75,0,0,1
383,1,2,1,0.83,0,2,29.0,0,0,1
384,0,3,1,42.0,0,0,7.65,0,0,1
385,0,3,1,22.0,0,0,7.125,0,0,1
386,1,1,0,44.0,0,0,27.7208,1,0,0
387,0,3,1,21.0,0,0,7.7333,0,1,0
388,1,2,0,5.0,1,2,27.75,0,0,1
389,0,1,1,46.0,1,0,61.175,0,0,1
390,1,2,0,34.0,0,0,10.5,0,0,1
391,1,3,0,21.0,0,0,7.65,0,0,1
392,0,3,1,32.0,0,0,7.925,0,0,1
393,0,1,1,45.0,0,0,35.5,0,0,1
394,0,3,0,9.0,3,2,27.9,0,0,1
395,0,2,1,57.0,0,0,12.35,0,1,0
396,1,2,0,54.0,1,3,23.0,0,0,1
397,0,2,1,21.0,1,0,11.5,0,0,1
398,0,3,1,21.0,0,0,7.925,0,0,1
399,1,3,0,1.0,0,2,15.7417,1,0,0
400,1,2,0,32.5,0,0,13.0,0,0,1
401,0,2,1,54.0,0,0,26.0,0,0,1
402,1,3,0,15.0,0,0,8.0292,0,1,0
403,1,1,0,43.0,0,1,211.3375,0,0,1
404,0,3,1,41.0,0,0,7.125,0,0,1
405,1,1,0,30.0,0,0,86.5,0,0,1
406,0,2,1,28.0,0,0,13.5,0,0,1
407,0,3,0,18.0,0,0,6.75,0,1,0
408,0,2,1,34.0,0,0,13.0,0,0,1
409,0,2,1,21.0,0,0,73.5,0,0,1
410,0,3,1,25.0,0,0,7.25,0,0,1
411,1,1,1,32.0,0,0,30.5,1,0,0
412,0,3,1,28.0,0,0,56.4958,0,0,1
413,0,3,1,30.0,0,0,7.2292,1,0,0
414,1,2,0,36.0,1,0,26.0,0,0,1
415,0,2,1,28.0,0,1,33.0,0,0,1
416,1,1,0,23.0,1,0,113.275,1,0,0
417,0,3,1,33.0,1,1,20.525,0,0,1
418,0,3,1,34.0,0,0,8.05,0,0,1
419,1,2,1,8.0,1,1,36.75,0,0,1
420,0,3,1,40.0,0,0,7.225,1,0,0
421,0,3,1,10.0,3,2,27.9,0,0,1
422,0,3,1,18.0,1,1,20.2125,0,0,1
423,0,2,1,35.0,0,0,26.0,0,0,1
424,0,1,1,65.0,0,1,61.9792,1,0,0
425,1,2,0,24.0,1,0,26.0,0,0,1
426,1,1,0,50.0,0,1,247.5208,1,0,0
427,1,1,1,49.0,1,0,56.9292,1,0,0
428,1,1,0,39.0,1,0,55.9,0,0,1
429,1,3,1,21.0,0,0,7.7958,0,0,1
430,0,3,1,17.0,0,0,7.125,0,0,1
431,0,1,1,31.0,0,0,50.4958,0,0,1
432,0,1,1,39.0,0,0,0.0,0,0,1
433,0,3,1,1.0,5,2,46.9,0,0,1
434,0,3,1,18.0,0,0,7.775,0,0,1
435,0,3,0,6.0,4,2,31.275,0,0,1
436,0,3,1,30.0,0,0,8.05,0,0,1
437,0,3,1,24.0,1,0,16.1,0,0,1
438,1,1,0,52.0,1,1,93.5,0,0,1
439,0,2,1,70.0,0,0,10.5,0,0,1
440,0,3,1,33.0,0,0,7.8958,1,0,0
441,0,2,0,26.0,1,1,26.0,0,0,1
442,0,3,1,33.0,0,0,8.6625,1,0,0
443,0,3,0,48.0,1,3,34.375,0,0,1
444,0,3,1,19.0,0,0,0.0,0,0,1
445,0,1,1,24.0,0,0,79.2,1,0,0
446,0,1,1,64.0,1,4,263.0,0,0,1
447,1,2,1,0.67,1,1,14.5,0,0,1
448,1,2,0,28.0,1,0,24.0,1,0,0
449,1,1,0,39.0,1,1,83.1583,1,0,0
450,1,3,1,39.0,0,0,7.925,0,0,1
451,1,3,0,23.0,0,0,7.55,0,0,1
452,0,3,1,22.0,0,0,7.25,0,0,1
453,1,1,0,54.0,1,0,59.4,1,0,0
454,0,3,1,36.0,0,0,0.0,0,0,1
455,0,3,1,21.0,0,0,7.775,0,0,1
456,0,3,1,28.0,0,0,9.5,0,0,1
457,0,2,1,50.0,0,0,13.0,0,0,1
458,0,3,0,2.0,0,1,10.4625,0,0,1
459,1,3,1,3.0,1,1,15.9,0,0,1
460,1,1,0,35.0,1,0,52.0,0,0,1
461,1,3,1,32.0,0,0,7.925,0,0,1
462,1,2,0,31.0,1,1,26.25,0,0,1
463,0,3,0,41.0,0,2,20.2125,0,0,1
464,0,3,0,18.0,0,0,7.775,0,0,1
465,1,2,0,17.0,0,0,10.5,0,0,1
466,0,2,1,60.0,1,1,39.0,0,0,1
467,0,3,1,21.0,0,0,7.925,0,0,1
468,1,2,0,25.0,0,1,26.0,0,0,1
469,0,3,0,29.0,1,1,10.4625,0,0,1
470,1,3,1,20.0,1,1,15.7417,1,0,0
471,0,1,1,45.0,0,0,26.55,0,0,1
472,1,1,1,36.0,0,0,26.2875,0,0,1
473,1,3,0,17.0,4,2,7.925,0,0,1
474,0,3,1,36.0,0,0,7.8958,0,0,1
475,0,3,0,21.0,1,0,9.825,0,0,1
476,0,3,0,2.0,3,2,27.9,0,0,1
477,0,3,1,33.0,0,0,7.775,0,0,1
478,0,3,0,25.0,1,0,7.925,0,0,1
479,1,1,0,32.0,0,0,76.2917,1,0,0
480,1,1,1,52.0,0,0,30.5,0,0,1
481,1,2,0,40.0,0,0,15.75,0,0,1
482,0,2,1,25.0,1,0,26.0,0,0,1
483,0,1,1,45.5,0,0,28.5,0,0,1
484,1,1,0,19.0,0,2,26.2833,0,0,1
485,0,2,1,18.0,0,0,11.5,0,0,1
486,0,3,1,19.0,0,0,8.1583,0,0,1
487,0,3,1,20.0,0,0,9.5,0,0,1
488,1,1,1,36.0,1,2,120.0,0,0,1
489,1,1,0,35.0,1,0,83.475,0,0,1
490,0,1,1,40.0,0,0,0.0,0,0,1
491,1,2,0,27.0,1,0,13.8583,1,0,0
492,0,3,1,16.0,0,0,7.775,0,0,1
493,0,3,1,21.0,0,0,7.8,0,0,1
494,0,2,1,34.0,1,0,26.0,0,0,1
495,0,3,1,22.0,0,0,7.25,0,0,1
496,0,3,1,44.0,0,0,8.05,0,0,1
497,1,1,0,19.0,0,0,30.0,0,0,1
498,0,2,1,24.0,0,0,13.0,0,0,1
499,0,3,1,16.0,0,0,8.05,0,0,1
500,1,2,0,45.0,0,0,13.5,0,0,1
501,0,2,1,47.0,0,0,15.0,0,0,1
502,1,1,1,42.0,1,0,52.5542,0,0,1
503,1,2,1,31.0,0,0,13.0,0,0,1
504,0,2,1,39.0,0,0,26.0,0,0,1
505,0,3,1,25.0,0,0,7.05,0,0,1
506,1,3,0,0.75,2,1,19.2583,1,0,0
507,1,2,0,30.0,0,0,13.0,0,0,1
508,1,3,1,24.0,0,0,7.1417,0,0,1
509,1,1,0,35.0,0,0,512.3292,1,0,0
510,1,2,0,24.0,2,1,27.0,0,0,1
511,0,2,1,42.0,0,0,13.0,0,0,1
512,1,3,1,27.0,0,0,8.6625,0,0,1
513,0,3,1,30.0,0,0,7.8958,0,0,1
514,0,3,1,37.0,2,0,7.925,0,0,1
515,1,1,0,18.0,1,0,227.525,1,0,0
516,1,1,0,49.0,0,0,25.9292,0,0,1
517,0,3,1,48.0,0,0,7.8542,0,0,1
518,1,1,0,22.0,0,2,49.5,1,0,0
519,1,3,1,32.0,0,0,56.4958,0,0,1
520,1,1,1,27.0,1,0,53.1,0,0,1
521,0,3,1,42.0,0,0,7.55,0,0,1
522,0,1,1,47.0,0,0,52.0,0,0,1
523,1,2,0,48.0,1,2,65.0,0,0,1
524,0,3,1,43.0,0,0,6.45,0,0,1
525,0,3,0,41.0,0,5,39.6875,0,0,1
526,0,2,1,25.0,0,0,13.0,0,0,1
527,0,3,1,44.0,0,0,8.05,0,0,1
528,0,3,1,30.5,0,0,8.05,0,0,1
529,1,1,0,23.0,3,2,263.0,0,0,1
530,1,1,1,56.0,0,0,35.5,1,0,0
531,0,3,1,20.0,0,0,9.225,0,0,1
532,0,3,1,25.0,1,0,17.8,0,0,1
533,0,3,0,16.0,5,2,46.9,0,0,1
534,0,3,1,26.0,1,2,20.575,0,0,1
535,0,3,1,65.0,0,0,7.75,0,1,0
536,1,3,0,13.0,0,0,7.2292,1,0,0
537,1,3,0,14.0,1,0,11.2417,1,0,0
538,0,3,0,21.0,2,2,34.375,0,0,1
539,1,1,0,33.0,1,0,90.0,0,1,0
540,0,3,1,38.0,0,0,8.6625,0,0,1
541,0,2,1,66.0,0,0,10.5,0,0,1
542,0,2,1,23.0,0,0,13.0,0,0,1
543,1,2,0,28.0,0,0,13.0,0,0,1
544,0,3,1,22.0,0,0,7.7958,0,0,1
545,0,3,1,28.0,1,0,15.85,0,0,1
546,1,2,0,24.0,0,2,14.5,0,0,1
547,0,3,1,35.0,0,0,7.8958,1,0,0
548,0,2,1,46.0,0,0,26.0,0,0,1
549,1,3,0,15.0,1,0,14.4542,1,0,0
550,0,3,1,27.0,1,0,14.4542,1,0,0
551,1,1,0,58.0,0,1,153.4625,0,0,1
552,1,1,0,35.0,1,0,53.1,0,0,1
553,1,1,0,22.0,0,1,55.0,0,0,1
554,0,3,1,24.0,0,0,9.5,0,0,1
555,0,3,1,28.0,0,0,7.7958,0,0,1
556,1,1,0,36.0,1,2,120.0,0,0,1
557,0,3,0,30.0,1,1,24.15,0,0,1
558,0,3,1,33.0,0,0,9.5,0,0,1
559,1,3,0,33.0,3,0,15.85,0,0,1
560,0,3,0,3.0,3,1,21.075,0,0,1
561,0,3,1,28.0,0,0,7.8958,0,0,1
562,0,2,1,16.0,0,0,10.5,0,0,1
563,0,2,1,29.0,1,0,21.0,0,0,1
564,1,3,1,32.0,0,0,7.8542,0,0,1
565,0,3,1,74.0,0,0,7.775,0,0,1
566,0,3,1,40.5,0,0,7.75,0,1,0
567,1,1,0,19.0,1,0,91.0792,1,0,0
568,1,1,0,42.0,0,0,227.525,1,0,0
569,0,2,1,27.0,0,0,13.0,0,0,1
570,0,2,1,59.0,0,0,13.5,0,0,1
571,1,2,0,34.0,0,0,13.0,0,0,1
572,1,2,0,4.0,1,1,23.0,0,0,1
573,0,1,1,65.0,0,0,26.55,0,0,1
574,0,3,0,22.0,0,0,10.5167,0,0,1
575,0,3,1,26.0,1,0,7.8542,0,0,1
576,1,2,1,1.0,2,1,39.0,0,0,1
577,1,3,1,22.0,0,0,7.225,1,0,0
578,1,3,1,9.0,0,2,20.525,0,0,1
579,1,3,0,4.0,1,1,16.7,0,0,1
580,1,1,1,28.0,0,0,35.5,0,0,1
581,0,3,1,38.0,0,0,7.8958,0,0,1
582,0,1,1,62.0,0,0,26.55,0,0,1
583,0,3,0,28.0,1,1,14.4,0,0,1
584,0,3,1,17.0,0,0,8.6625,0,0,1
585,0,3,1,11.0,0,0,18.7875,1,0,0
586,1,3,0,5.0,4,2,31.3875,0,0,1
587,0,1,1,38.0,0,1,153.4625,0,0,1
588,1,1,1,17.0,0,2,110.8833,1,0,0
589,0,2,1,18.0,0,0,11.5,0,0,1
590,0,3,1,28.0,2,0,7.925,0,0,1
591,0,1,1,49.0,1,1,110.8833,1,0,0
592,0,2,1,23.0,0,0,10.5,0,0,1
593,1,1,0,24.0,0,0,83.1583,1,0,0
594,1,1,0,38.0,1,0,71.2833,1,0,0
595,0,1,1,61.0,0,0,33.5,0,0,1
596,1,1,0,35.0,0,0,135.6333,0,0,1
597,1,1,1,31.0,1,0,57.0,0,0,1
598,0,3,1,40.0,1,4,27.9,0,0,1
599,0,3,1,1.0,4,1,39.6875,0,0,1
600,1,1,1,37.0,1,1,52.5542,0,0,1
601,0,3,1,24.0,2,0,24.15,0,0,1
602,1,1,0,18.0,0,2,79.65,0,0,1
603,1,3,0,22.0,0,0,7.25,0,0,1
604,1,2,0,6.0,0,1,33.0,0,0,1
605,0,1,1,56.0,0,0,26.55,0,0,1
606,1,1,0,49.0,1,0,76.7292,1,0,0
607,1,3,1,32.0,0,0,56.4958,0,0,1
608,1,1,1,36.0,0,1,512.3292,1,0,0
609,0,3,1,44.0,0,1,16.1,0,0,1
610,1,3,0,26.0,0,0,7.925,0,0,1
611,1,1,1,48.0,1,0,52.0,0,0,1
612,1,1,1,51.0,0,0,26.55,0,0,1
613,0,1,1,70.0,1,1,71.0,0,0,1
614,0,3,1,49.0,0,0,0.0,0,0,1
615,1,3,1,16.0,0,0,8.05,0,0,1
616,0,3,0,22.0,0,0,9.8375,0,0,1
617,1,1,1,27.0,0,0,30.5,0,0,1
618,0,3,1,32.0,0,0,8.3625,0,0,1
619,0,3,0,39.0,1,5,31.275,0,0,1
620,1,2,0,27.0,0,0,10.5,0,0,1
621,0,3,1,24.5,0,0,8.05,0,0,1
622,0,1,1,29.0,0,0,30.0,0,0,1
623,0,2,0,57.0,0,0,10.5,0,0,1
624,1,1,1,11.0,1,2,120.0,0,0,1
625,0,3,1,29.0,1,0,7.0458,0,0,1
626,1,2,1,0.83,1,1,18.75,0,0,1
627,0,1,0,50.0,0,0,28.7125,1,0,0
628,0,2,1,33.0,0,0,12.275,0,0,1
629,1,3,0,18.0,0,1,9.35,0,0,1
630,0,2,1,44.0,1,0,26.0,0,0,1
631,1,3,1,27.0,0,0,6.975,0,0,1
632,0,2,1,24.0,2,0,73.5,0,0,1
633,1,3,0,22.0,0,0,7.75,0,0,1
634,0,3,1,30.0,1,0,16.1,0,0,1
635,1,3,0,0.75,2,1,19.2583,1,0,0
636,1,2,0,30.0,3,0,21.0,0,0,1
637,1,1,0,30.0,0,0,106.425,1,0,0
638,0,3,1,22.0,0,0,8.05,0,0,1
639,1,3,1,3.0,4,2,31.3875,0,0,1
640,0,3,0,28.0,0,0,7.8958,0,0,1
641,1,2,0,34.0,1,1,32.5,0,0,1
642,1,3,0,27.0,0,1,12.475,0,0,1
643,1,2,0,45.0,1,1,26.25,0,0,1
644,1,3,0,30.0,0,0,12.475,0,0,1
645,1,3,0,5.0,0,0,12.475,0,0,1
646,0,2,1,25.0,0,0,13.0,0,0,1
647,0,3,1,28.5,0,0,7.2292,1,0,0
648,0,3,1,18.0,1,0,6.4958,0,0,1
649,1,1,1,35.0,0,0,512.3292,1,0,0
650,0,3,1,31.0,0,0,7.75,0,1,0
651,0,3,1,14.0,4,1,39.6875,0,0,1
652,1,1,1,80.0,0,0,30.0,0,0,1
653,1,3,1,4.0,1,1,11.1333,0,0,1
654,1,3,0,1.0,1,1,11.1333,0,0,1
655,0,3,1,2.0,4,1,29.125,0,1,0
656,0,2,0,38.0,0,0,13.0,0,0,1
657,1,1,1,25.0,1,0,55.4417,1,0,0
658,0,1,1,27.0,0,2,211.5,1,0,0
659,0,3,1,43.0,0,0,8.05,0,0,1
660,1,1,1,48.0,0,0,26.55,0,0,1
661,0,1,1,36.0,0,0,40.125,1,0,0
662,0,3,1,26.0,0,0,7.8958,0,0,1
663,0,3,1,16.0,0,0,9.2167,0,0,1
664,1,3,0,24.0,0,3,19.2583,1,0,0
665,1,1,1,48.0,1,0,76.7292,1,0,0
666,0,3,1,16.0,1,3,34.375,0,0,1
667,0,2,1,29.0,0,0,10.5,0,0,1
668,1,3,1,18.0,0,0,8.05,0,0,1
669,0,1,1,56.0,0,0,30.6958,1,0,0
670,1,1,0,60.0,1,0,75.25,1,0,0
671,1,2,0,55.0,0,0,16.0,0,0,1
672,0,2,1,31.0,0,0,10.5,0,0,1
673,0,1,1,54.0,0,1,77.2875,0,0,1
674,0,3,1,22.0,0,0,7.8958,0,0,1
675,0,1,1,64.0,0,0,26.0,0,0,1
676,0,3,1,34.0,0,0,6.4958,0,0,1
677,0,3,1,29.0,0,0,8.05,0,0,1
678,1,1,0,17.0,1,0,57.0,0,0,1
679,1,2,0,34.0,0,1,23.0,0,0,1
680,1,3,1,12.0,1,0,11.2417,1,0,0
681,0,2,1,21.0,2,0,73.5,0,0,1
682,1,2,0,50.0,0,0,10.5,0,0,1
683,1,3,0,19.0,0,0,7.8792,0,1,0
684,0,1,1,71.0,0,0,34.6542,1,0,0
685,0,3,0,20.0,1,0,9.825,0,0,1
686,1,1,0,40.0,0,0,153.4625,0,0,1
687,0,1,0,2.0,1,2,151.55,0,0,1
688,0,3,1,19.0,0,0,14.5,0,0,1
689,1,2,0,28.0,0,0,12.65,0,0,1
690,1,1,0,16.0,0,1,57.9792,1,0,0
691,1,1,0,21.0,2,2,262.375,1,0,0
692,0,3,1,16.0,2,0,18.0,0,0,1
693,0,2,1,34.0,1,0,21.0,0,0,1
694,0,2,1,36.0,0,0,12.875,1,0,0
695,0,1,1,31.0,1,0,52.0,0,0,1
696,1,2,0,18.0,0,1,23.0,0,0,1
697,0,3,0,31.0,0,0,7.8542,0,0,1
698,0,3,1,40.0,0,0,7.8958,0,0,1
699,0,3,1,20.0,0,0,4.0125,1,0,0
700,0,3,1,18.0,0,0,7.7958,0,0,1
701,1,2,0,50.0,0,1,26.0,0,0,1
702,0,3,1,21.0,0,0,8.05,0,0,1
703,1,1,0,53.0,2,0,51.4792,0,0,1
704,0,3,1,18.0,1,1,7.8542,0,0,1
705,1,1,0,31.0,0,2,164.8667,0,0,1
706,1,3,0,18.0,0,0,7.4958,0,0,1
707,1,1,0,58.0,0,0,26.55,0,0,1
708,1,1,0,24.0,0,0,69.3,1,0,0
709,1,3,0,35.0,1,1,20.25,0,0,1
710,0,3,0,32.0,1,1,15.5,0,1,0
711,0,3,1,25.0,0,0,7.05,0,0,1
